注文明細ID,注文ID,商品ID,商品名,商品カテゴリ,ブランド,単価,数量,割引率,明細金額,出荷倉庫ID
OI0000465,O000031,P007,高画質ウェブカメラ,周辺機器,VisionGo,107.14,1,0.00,107.14,WH-SEOUL
OI0000466,O000592,P004,27インチモニター,ディスプレイ,ViewPeak,269.34,1,0.05,255.87,WH-DAEJEON
OI0000467,O000360,P010,Bluetoothスピーカー,オーディオ,SonicArc,91.07,2,0.00,182.14,WH-SEOUL
OI0000468,O000429,P012,11インチタブレット,コンピューター,NovaTech,602.06,1,0.10,541.85,WH-SEOUL
OI0000469,O000386,P018,電子書籍リーダー,コンピューター,PageFlow,145.43,2,0.15,247.23,WH-BUSAN
OI0000470,O000473,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,228.04,2,0.00,456.08,WH-DAEJEON
OI0000471,O000691,P004,27インチモニター,ディスプレイ,ViewPeak,268.23,1,0.00,268.23,WH-SEOUL
OI0000472,O000606,P014,フィットネスウォッチ,ウェアラブル,PulseOn,178.69,2,0.00,357.38,WH-SEOUL
OI0000473,O000221,P017,4Kアクションカメラ,カメラ,VisionGo,321.89,1,0.10,289.70,WH-DAEJEON
OI0000474,O000346,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,218.64,1,0.00,218.64,WH-SEOUL
OI0000475,O000419,P009,スマートデスクライト,オフィス用品,LumaWorks,75.70,1,0.00,75.70,WH-INCHEON
OI0000476,O000574,P007,高画質ウェブカメラ,周辺機器,VisionGo,107.06,1,0.00,107.06,WH-SEOUL
OI0000477,O000585,P015,65W急速充電器,周辺機器,VoltEdge,39.68,2,0.10,71.42,WH-BUSAN
OI0000478,O000465,P017,4Kアクションカメラ,カメラ,VisionGo,330.88,1,0.10,297.79,WH-SEOUL
OI0000479,O000458,P003,USB-Cハブ,周辺機器,Nexio,54.95,1,0.05,52.20,WH-SEOUL
OI0000480,O000587,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,430.87,1,0.00,430.87,WH-SEOUL
OI0000481,O000680,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,213.51,1,0.00,213.51,WH-SEOUL
OI0000482,O000383,P014,フィットネスウォッチ,ウェアラブル,PulseOn,190.16,1,0.00,190.16,WH-SEOUL
OI0000483,O000074,P014,フィットネスウォッチ,ウェアラブル,PulseOn,175.38,1,0.00,175.38,WH-SEOUL
OI0000484,O000410,P003,USB-Cハブ,周辺機器,Nexio,52.17,1,0.00,52.17,WH-SEOUL
OI0000485,O000363,P014,フィットネスウォッチ,ウェアラブル,PulseOn,169.80,2,0.05,322.62,WH-INCHEON
OI0000486,O000372,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,380.25,2,0.00,760.50,WH-DAEJEON
OI0000487,O000396,P004,27インチモニター,ディスプレイ,ViewPeak,292.37,1,0.00,292.37,WH-DAEJEON
OI0000488,O000322,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,243.06,1,0.00,243.06,WH-SEOUL
OI0000489,O000329,P018,電子書籍リーダー,コンピューター,PageFlow,153.65,1,0.05,145.97,WH-SEOUL
OI0000490,O000090,P012,11インチタブレット,コンピューター,NovaTech,614.36,1,0.00,614.36,WH-SEOUL
OI0000491,O000621,P015,65W急速充電器,周辺機器,VoltEdge,37.00,1,0.00,37.00,WH-SEOUL
OI0000492,O000041,P001,ワイヤレスマウス,周辺機器,Nexio,31.20,1,0.05,29.64,WH-BUSAN
OI0000493,O000374,P012,11インチタブレット,コンピューター,NovaTech,665.57,2,0.05,1264.58,WH-BUSAN
OI0000494,O000541,P017,4Kアクションカメラ,カメラ,VisionGo,322.31,1,0.05,306.19,WH-SEOUL
OI0000495,O000158,P007,高画質ウェブカメラ,周辺機器,VisionGo,106.65,1,0.00,106.65,WH-DAEJEON
OI0000496,O000083,P002,メカニカルキーボード,周辺機器,KeyForge,83.20,4,0.15,282.88,WH-DAEJEON
OI0000497,O000301,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,223.63,1,0.00,223.63,WH-BUSAN
OI0000498,O000523,P001,ワイヤレスマウス,周辺機器,Nexio,28.02,2,0.00,56.04,WH-BUSAN
OI0000499,O000703,P003,USB-Cハブ,周辺機器,Nexio,51.46,1,0.00,51.46,WH-BUSAN
OI0000500,O000373,P009,スマートデスクライト,オフィス用品,LumaWorks,73.43,1,0.05,69.76,WH-SEOUL
OI0000501,O000647,P003,USB-Cハブ,周辺機器,Nexio,53.27,1,0.00,53.27,WH-DAEJEON
OI0000502,O000652,P009,スマートデスクライト,オフィス用品,LumaWorks,75.04,1,0.10,67.54,WH-SEOUL
OI0000503,O000322,P010,Bluetoothスピーカー,オーディオ,SonicArc,94.18,1,0.10,84.76,WH-BUSAN
OI0000504,O000497,P009,スマートデスクライト,オフィス用品,LumaWorks,67.54,2,0.00,135.08,WH-DAEJEON
OI0000505,O000154,P018,電子書籍リーダー,コンピューター,PageFlow,146.82,1,0.00,146.82,WH-DAEJEON
OI0000506,O000316,P007,高画質ウェブカメラ,周辺機器,VisionGo,102.25,1,0.00,102.25,WH-SEOUL
OI0000507,O000072,P005,ノートPCスタンド,オフィス用品,ErgoLab,44.72,1,0.00,44.72,WH-SEOUL
OI0000508,O000155,P017,4Kアクションカメラ,カメラ,VisionGo,330.25,1,0.00,330.25,WH-SEOUL
OI0000509,O000212,P015,65W急速充電器,周辺機器,VoltEdge,36.06,3,0.05,102.77,WH-SEOUL
OI0000510,O000078,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,216.24,2,0.00,432.48,WH-SEOUL
OI0000511,O000695,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,394.84,2,0.00,789.68,WH-DAEJEON
OI0000512,O000624,P008,ポータブルSSD 1TB,ストレージ,DataNest,139.33,1,0.15,118.43,WH-DAEJEON
OI0000513,O000674,P017,4Kアクションカメラ,カメラ,VisionGo,348.94,2,0.05,662.99,WH-BUSAN
OI0000514,O000642,P014,フィットネスウォッチ,ウェアラブル,PulseOn,173.03,1,0.00,173.03,WH-DAEJEON
OI0000515,O000119,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1187.51,2,0.00,2375.02,WH-SEOUL
OI0000516,O000342,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,426.66,1,0.05,405.33,WH-SEOUL
OI0000517,O000407,P017,4Kアクションカメラ,カメラ,VisionGo,305.41,1,0.05,290.14,WH-BUSAN
OI0000518,O000701,P009,スマートデスクライト,オフィス用品,LumaWorks,76.16,1,0.00,76.16,WH-SEOUL
OI0000519,O000675,P005,ノートPCスタンド,オフィス用品,ErgoLab,47.28,1,0.00,47.28,WH-SEOUL
OI0000520,O000254,P012,11インチタブレット,コンピューター,NovaTech,645.73,1,0.05,613.44,WH-BUSAN
OI0000521,O000207,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,228.93,1,0.15,194.59,WH-DAEJEON
OI0000522,O000647,P018,電子書籍リーダー,コンピューター,PageFlow,156.27,1,0.00,156.27,WH-SEOUL
OI0000523,O000388,P012,11インチタブレット,コンピューター,NovaTech,614.35,2,0.00,1228.70,WH-DAEJEON
OI0000524,O000235,P015,65W急速充電器,周辺機器,VoltEdge,37.15,2,0.00,74.30,WH-INCHEON
OI0000525,O000457,P003,USB-Cハブ,周辺機器,Nexio,57.92,2,0.00,115.84,WH-DAEJEON
OI0000526,O000131,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1276.72,1,0.10,1149.05,WH-BUSAN
OI0000527,O000520,P010,Bluetoothスピーカー,オーディオ,SonicArc,97.26,3,0.15,248.01,WH-DAEJEON
OI0000528,O000306,P015,65W急速充電器,周辺機器,VoltEdge,37.11,1,0.00,37.11,WH-INCHEON
OI0000529,O000568,P005,ノートPCスタンド,オフィス用品,ErgoLab,43.53,1,0.00,43.53,WH-DAEJEON
OI0000530,O000337,P018,電子書籍リーダー,コンピューター,PageFlow,141.03,1,0.00,141.03,WH-SEOUL
OI0000531,O000034,P018,電子書籍リーダー,コンピューター,PageFlow,148.45,1,0.00,148.45,WH-SEOUL
OI0000532,O000716,P009,スマートデスクライト,オフィス用品,LumaWorks,69.17,4,0.05,262.85,WH-SEOUL
OI0000533,O000168,P017,4Kアクションカメラ,カメラ,VisionGo,320.12,1,0.00,320.12,WH-SEOUL
OI0000534,O000612,P014,フィットネスウォッチ,ウェアラブル,PulseOn,173.60,1,0.10,156.24,WH-INCHEON
OI0000535,O000441,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,408.50,1,0.00,408.50,WH-BUSAN
OI0000536,O000184,P008,ポータブルSSD 1TB,ストレージ,DataNest,143.94,1,0.00,143.94,WH-SEOUL
OI0000537,O000636,P008,ポータブルSSD 1TB,ストレージ,DataNest,146.10,3,0.05,416.38,WH-SEOUL
OI0000538,O000492,P003,USB-Cハブ,周辺機器,Nexio,54.69,1,0.00,54.69,WH-INCHEON
OI0000539,O000297,P018,電子書籍リーダー,コンピューター,PageFlow,143.44,1,0.00,143.44,WH-SEOUL
OI0000540,O000205,P018,電子書籍リーダー,コンピューター,PageFlow,142.47,1,0.15,121.10,WH-SEOUL
OI0000541,O000407,P009,スマートデスクライト,オフィス用品,LumaWorks,68.27,1,0.00,68.27,WH-BUSAN
OI0000542,O000615,P003,USB-Cハブ,周辺機器,Nexio,55.25,1,0.00,55.25,WH-DAEJEON
OI0000543,O000616,P008,ポータブルSSD 1TB,ストレージ,DataNest,148.88,1,0.05,141.44,WH-SEOUL
OI0000544,O000401,P005,ノートPCスタンド,オフィス用品,ErgoLab,50.38,1,0.00,50.38,WH-SEOUL
OI0000545,O000197,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,420.51,1,0.00,420.51,WH-INCHEON
OI0000546,O000437,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,216.69,1,0.00,216.69,WH-SEOUL
OI0000547,O000588,P009,スマートデスクライト,オフィス用品,LumaWorks,73.82,1,0.05,70.13,WH-DAEJEON
OI0000548,O000381,P015,65W急速充電器,周辺機器,VoltEdge,39.05,3,0.05,111.29,WH-DAEJEON
OI0000549,O000565,P003,USB-Cハブ,周辺機器,Nexio,58.63,1,0.05,55.70,WH-SEOUL
OI0000550,O000177,P005,ノートPCスタンド,オフィス用品,ErgoLab,47.66,2,0.05,90.55,WH-SEOUL
OI0000551,O000592,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,231.76,1,0.00,231.76,WH-DAEJEON
OI0000552,O000446,P002,メカニカルキーボード,周辺機器,KeyForge,95.53,2,0.00,191.06,WH-BUSAN
OI0000553,O000214,P007,高画質ウェブカメラ,周辺機器,VisionGo,115.86,1,0.00,115.86,WH-SEOUL
OI0000554,O000504,P002,メカニカルキーボード,周辺機器,KeyForge,91.25,2,0.05,173.38,WH-BUSAN
OI0000555,O000166,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1131.84,2,0.10,2037.31,WH-BUSAN
OI0000556,O000359,P017,4Kアクションカメラ,カメラ,VisionGo,311.68,1,0.00,311.68,WH-BUSAN
OI0000557,O000211,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1122.27,1,0.05,1066.16,WH-SEOUL
OI0000558,O000030,P014,フィットネスウォッチ,ウェアラブル,PulseOn,189.62,2,0.00,379.24,WH-SEOUL
OI0000559,O000559,P017,4Kアクションカメラ,カメラ,VisionGo,317.59,3,0.00,952.77,WH-SEOUL
OI0000560,O000241,P010,Bluetoothスピーカー,オーディオ,SonicArc,91.67,2,0.00,183.34,WH-BUSAN
OI0000561,O000256,P018,電子書籍リーダー,コンピューター,PageFlow,153.44,1,0.00,153.44,WH-SEOUL
OI0000562,O000046,P005,ノートPCスタンド,オフィス用品,ErgoLab,49.10,1,0.00,49.10,WH-SEOUL
OI0000563,O000447,P012,11インチタブレット,コンピューター,NovaTech,626.36,1,0.00,626.36,WH-SEOUL
OI0000564,O000714,P017,4Kアクションカメラ,カメラ,VisionGo,304.21,1,0.00,304.21,WH-SEOUL
OI0000565,O000444,P001,ワイヤレスマウス,周辺機器,Nexio,29.69,1,0.00,29.69,WH-INCHEON
OI0000566,O000304,P018,電子書籍リーダー,コンピューター,PageFlow,149.61,1,0.10,134.65,WH-SEOUL
OI0000567,O000290,P004,27インチモニター,ディスプレイ,ViewPeak,296.84,1,0.00,296.84,WH-SEOUL
OI0000568,O000591,P004,27インチモニター,ディスプレイ,ViewPeak,286.96,1,0.00,286.96,WH-SEOUL
OI0000569,O000450,P017,4Kアクションカメラ,カメラ,VisionGo,318.58,1,0.00,318.58,WH-SEOUL
OI0000570,O000040,P007,高画質ウェブカメラ,周辺機器,VisionGo,108.29,1,0.00,108.29,WH-DAEJEON
OI0000571,O000594,P014,フィットネスウォッチ,ウェアラブル,PulseOn,169.92,1,0.00,169.92,WH-DAEJEON
OI0000572,O000217,P007,高画質ウェブカメラ,周辺機器,VisionGo,117.29,1,0.00,117.29,WH-SEOUL
OI0000573,O000448,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,222.03,1,0.00,222.03,WH-SEOUL
OI0000574,O000152,P012,11インチタブレット,コンピューター,NovaTech,640.95,1,0.10,576.86,WH-SEOUL
OI0000575,O000029,P001,ワイヤレスマウス,周辺機器,Nexio,29.95,1,0.20,23.96,WH-BUSAN
OI0000576,O000125,P012,11インチタブレット,コンピューター,NovaTech,642.14,3,0.00,1926.42,WH-SEOUL
OI0000577,O000397,P014,フィットネスウォッチ,ウェアラブル,PulseOn,191.78,3,0.00,575.34,WH-BUSAN
OI0000578,O000223,P008,ポータブルSSD 1TB,ストレージ,DataNest,140.92,1,0.00,140.92,WH-SEOUL
OI0000579,O000229,P009,スマートデスクライト,オフィス用品,LumaWorks,71.16,1,0.00,71.16,WH-SEOUL
OI0000580,O000341,P009,スマートデスクライト,オフィス用品,LumaWorks,77.36,3,0.00,232.08,WH-BUSAN
OI0000581,O000600,P007,高画質ウェブカメラ,周辺機器,VisionGo,115.90,1,0.10,104.31,WH-SEOUL
OI0000582,O000365,P007,高画質ウェブカメラ,周辺機器,VisionGo,107.95,2,0.05,205.10,WH-BUSAN
OI0000583,O000206,P017,4Kアクションカメラ,カメラ,VisionGo,347.86,1,0.00,347.86,WH-INCHEON
OI0000584,O000533,P014,フィットネスウォッチ,ウェアラブル,PulseOn,186.41,1,0.20,149.13,WH-INCHEON
OI0000585,O000488,P017,4Kアクションカメラ,カメラ,VisionGo,327.65,2,0.00,655.30,WH-SEOUL
OI0000586,O000469,P017,4Kアクションカメラ,カメラ,VisionGo,354.91,2,0.00,709.82,WH-BUSAN
OI0000587,O000590,P014,フィットネスウォッチ,ウェアラブル,PulseOn,165.84,1,0.05,157.55,WH-DAEJEON
OI0000588,O000387,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,230.62,1,0.00,230.62,WH-SEOUL
OI0000589,O000004,P015,65W急速充電器,周辺機器,VoltEdge,36.23,1,0.05,34.42,WH-INCHEON
OI0000590,O000345,P004,27インチモニター,ディスプレイ,ViewPeak,279.48,2,0.00,558.96,WH-SEOUL
OI0000591,O000161,P012,11インチタブレット,コンピューター,NovaTech,668.62,1,0.10,601.76,WH-SEOUL
OI0000592,O000428,P012,11インチタブレット,コンピューター,NovaTech,618.32,1,0.00,618.32,WH-SEOUL
OI0000593,O000550,P007,高画質ウェブカメラ,周辺機器,VisionGo,105.55,3,0.00,316.65,WH-DAEJEON
OI0000594,O000626,P002,メカニカルキーボード,周辺機器,KeyForge,83.35,2,0.00,166.70,WH-SEOUL
OI0000595,O000300,P014,フィットネスウォッチ,ウェアラブル,PulseOn,167.50,1,0.00,167.50,WH-SEOUL
OI0000596,O000144,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1210.94,1,0.10,1089.85,WH-SEOUL
OI0000597,O000198,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,240.20,1,0.00,240.20,WH-DAEJEON
OI0000598,O000517,P010,Bluetoothスピーカー,オーディオ,SonicArc,88.11,4,0.00,352.44,WH-BUSAN
OI0000599,O000435,P018,電子書籍リーダー,コンピューター,PageFlow,141.84,2,0.05,269.50,WH-BUSAN
OI0000600,O000053,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1177.66,1,0.00,1177.66,WH-BUSAN
OI0000601,O000614,P018,電子書籍リーダー,コンピューター,PageFlow,152.06,1,0.00,152.06,WH-SEOUL
OI0000602,O000229,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,234.95,2,0.00,469.90,WH-SEOUL
OI0000603,O000665,P007,高画質ウェブカメラ,周辺機器,VisionGo,110.72,1,0.10,99.65,WH-SEOUL
OI0000604,O000153,P010,Bluetoothスピーカー,オーディオ,SonicArc,96.72,2,0.20,154.75,WH-DAEJEON
OI0000605,O000209,P012,11インチタブレット,コンピューター,NovaTech,631.68,2,0.00,1263.36,WH-SEOUL
OI0000606,O000569,P018,電子書籍リーダー,コンピューター,PageFlow,151.76,1,0.05,144.17,WH-INCHEON
OI0000607,O000054,P010,Bluetoothスピーカー,オーディオ,SonicArc,101.73,2,0.05,193.29,WH-INCHEON
OI0000608,O000481,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1196.33,1,0.00,1196.33,WH-BUSAN
OI0000609,O000123,P009,スマートデスクライト,オフィス用品,LumaWorks,68.85,1,0.00,68.85,WH-SEOUL
OI0000610,O000076,P004,27インチモニター,ディスプレイ,ViewPeak,269.75,1,0.10,242.78,WH-SEOUL
OI0000611,O000560,P017,4Kアクションカメラ,カメラ,VisionGo,307.64,1,0.00,307.64,WH-DAEJEON
OI0000612,O000679,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,377.95,2,0.00,755.90,WH-SEOUL
OI0000613,O000337,P003,USB-Cハブ,周辺機器,Nexio,50.84,1,0.00,50.84,WH-INCHEON
OI0000614,O000673,P018,電子書籍リーダー,コンピューター,PageFlow,154.97,2,0.00,309.94,WH-SEOUL
OI0000615,O000043,P014,フィットネスウォッチ,ウェアラブル,PulseOn,181.53,1,0.00,181.53,WH-INCHEON
OI0000616,O000253,P010,Bluetoothスピーカー,オーディオ,SonicArc,88.59,2,0.05,168.32,WH-SEOUL
OI0000617,O000114,P001,ワイヤレスマウス,周辺機器,Nexio,31.59,1,0.00,31.59,WH-SEOUL
OI0000618,O000552,P018,電子書籍リーダー,コンピューター,PageFlow,154.10,1,0.00,154.10,WH-DAEJEON
OI0000619,O000038,P009,スマートデスクライト,オフィス用品,LumaWorks,67.81,4,0.05,257.68,WH-BUSAN
OI0000620,O000112,P014,フィットネスウォッチ,ウェアラブル,PulseOn,182.95,1,0.15,155.51,WH-BUSAN
OI0000621,O000479,P014,フィットネスウォッチ,ウェアラブル,PulseOn,186.90,1,0.00,186.90,WH-SEOUL
OI0000622,O000098,P012,11インチタブレット,コンピューター,NovaTech,599.82,1,0.20,479.86,WH-SEOUL
OI0000623,O000165,P012,11インチタブレット,コンピューター,NovaTech,617.50,3,0.10,1667.25,WH-DAEJEON
OI0000624,O000564,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,216.21,1,0.15,183.78,WH-SEOUL
OI0000625,O000102,P009,スマートデスクライト,オフィス用品,LumaWorks,66.59,2,0.05,126.52,WH-SEOUL
OI0000626,O000062,P012,11インチタブレット,コンピューター,NovaTech,699.32,4,0.05,2657.42,WH-SEOUL
OI0000627,O000003,P017,4Kアクションカメラ,カメラ,VisionGo,333.31,1,0.00,333.31,WH-SEOUL
OI0000628,O000209,P003,USB-Cハブ,周辺機器,Nexio,55.84,3,0.00,167.52,WH-DAEJEON
OI0000629,O000395,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1198.77,1,0.05,1138.83,WH-SEOUL
OI0000630,O000128,P014,フィットネスウォッチ,ウェアラブル,PulseOn,177.03,1,0.00,177.03,WH-BUSAN
OI0000631,O000456,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1193.27,2,0.05,2267.21,WH-BUSAN
OI0000632,O000030,P005,ノートPCスタンド,オフィス用品,ErgoLab,44.87,2,0.00,89.74,WH-INCHEON
OI0000633,O000069,P012,11インチタブレット,コンピューター,NovaTech,628.06,1,0.00,628.06,WH-SEOUL
OI0000634,O000598,P009,スマートデスクライト,オフィス用品,LumaWorks,75.17,1,0.00,75.17,WH-DAEJEON
OI0000635,O000167,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,214.72,3,0.00,644.16,WH-INCHEON
OI0000636,O000079,P005,ノートPCスタンド,オフィス用品,ErgoLab,47.61,2,0.00,95.22,WH-DAEJEON
OI0000637,O000461,P010,Bluetoothスピーカー,オーディオ,SonicArc,102.26,1,0.00,102.26,WH-DAEJEON
OI0000638,O000490,P014,フィットネスウォッチ,ウェアラブル,PulseOn,169.96,2,0.00,339.92,WH-SEOUL
OI0000639,O000516,P005,ノートPCスタンド,オフィス用品,ErgoLab,44.30,2,0.00,88.60,WH-BUSAN
OI0000640,O000399,P001,ワイヤレスマウス,周辺機器,Nexio,31.42,1,0.00,31.42,WH-SEOUL
OI0000641,O000390,P008,ポータブルSSD 1TB,ストレージ,DataNest,147.40,1,0.10,132.66,WH-SEOUL
OI0000642,O000376,P002,メカニカルキーボード,周辺機器,KeyForge,86.39,1,0.00,86.39,WH-BUSAN
OI0000643,O000391,P001,ワイヤレスマウス,周辺機器,Nexio,31.80,1,0.05,30.21,WH-SEOUL
OI0000644,O000082,P018,電子書籍リーダー,コンピューター,PageFlow,138.03,1,0.00,138.03,WH-SEOUL
OI0000645,O000307,P002,メカニカルキーボード,周辺機器,KeyForge,88.94,2,0.05,168.99,WH-BUSAN
OI0000646,O000083,P002,メカニカルキーボード,周辺機器,KeyForge,83.03,1,0.00,83.03,WH-SEOUL
OI0000647,O000651,P007,高画質ウェブカメラ,周辺機器,VisionGo,116.54,2,0.00,233.08,WH-SEOUL
OI0000648,O000514,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,219.60,1,0.10,197.64,WH-DAEJEON
OI0000649,O000356,P014,フィットネスウォッチ,ウェアラブル,PulseOn,172.82,1,0.00,172.82,WH-BUSAN
OI0000650,O000034,P009,スマートデスクライト,オフィス用品,LumaWorks,67.58,1,0.00,67.58,WH-SEOUL
OI0000651,O000101,P004,27インチモニター,ディスプレイ,ViewPeak,302.07,1,0.00,302.07,WH-SEOUL
OI0000652,O000085,P002,メカニカルキーボード,周辺機器,KeyForge,84.37,3,0.05,240.45,WH-BUSAN
OI0000653,O000246,P009,スマートデスクライト,オフィス用品,LumaWorks,69.75,2,0.00,139.50,WH-SEOUL
OI0000654,O000047,P001,ワイヤレスマウス,周辺機器,Nexio,29.75,2,0.00,59.50,WH-SEOUL
OI0000655,O000093,P004,27インチモニター,ディスプレイ,ViewPeak,301.77,1,0.00,301.77,WH-BUSAN
OI0000656,O000240,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,220.70,2,0.00,441.40,WH-SEOUL
OI0000657,O000555,P018,電子書籍リーダー,コンピューター,PageFlow,153.70,1,0.10,138.33,WH-SEOUL
OI0000658,O000076,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,424.26,3,0.00,1272.78,WH-SEOUL
OI0000659,O000137,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,235.00,1,0.00,235.00,WH-BUSAN
OI0000660,O000128,P018,電子書籍リーダー,コンピューター,PageFlow,137.83,1,0.15,117.16,WH-DAEJEON
OI0000661,O000575,P012,11インチタブレット,コンピューター,NovaTech,623.19,1,0.00,623.19,WH-SEOUL
OI0000662,O000014,P018,電子書籍リーダー,コンピューター,PageFlow,153.17,1,0.00,153.17,WH-INCHEON
OI0000663,O000272,P008,ポータブルSSD 1TB,ストレージ,DataNest,147.39,1,0.00,147.39,WH-BUSAN
OI0000664,O000482,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,228.02,2,0.05,433.24,WH-SEOUL
OI0000665,O000523,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,226.14,1,0.00,226.14,WH-DAEJEON
OI0000666,O000125,P009,スマートデスクライト,オフィス用品,LumaWorks,77.09,1,0.00,77.09,WH-DAEJEON
OI0000667,O000053,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,204.19,1,0.05,193.98,WH-BUSAN
OI0000668,O000058,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,426.87,3,0.05,1216.58,WH-DAEJEON
OI0000669,O000249,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1237.00,1,0.00,1237.00,WH-DAEJEON
OI0000670,O000659,P017,4Kアクションカメラ,カメラ,VisionGo,345.36,2,0.00,690.72,WH-SEOUL
OI0000671,O000697,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,227.95,2,0.10,410.31,WH-BUSAN
OI0000672,O000594,P002,メカニカルキーボード,周辺機器,KeyForge,91.99,3,0.10,248.37,WH-SEOUL
OI0000673,O000526,P004,27インチモニター,ディスプレイ,ViewPeak,277.35,2,0.00,554.70,WH-DAEJEON
OI0000674,O000618,P008,ポータブルSSD 1TB,ストレージ,DataNest,131.72,1,0.00,131.72,WH-DAEJEON
OI0000675,O000282,P014,フィットネスウォッチ,ウェアラブル,PulseOn,173.92,1,0.10,156.53,WH-DAEJEON
OI0000676,O000591,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,236.06,4,0.20,755.39,WH-DAEJEON
OI0000677,O000657,P002,メカニカルキーボード,周辺機器,KeyForge,94.08,1,0.00,94.08,WH-DAEJEON
OI0000678,O000427,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,219.56,1,0.20,175.65,WH-SEOUL
OI0000679,O000097,P003,USB-Cハブ,周辺機器,Nexio,56.81,1,0.10,51.13,WH-DAEJEON
OI0000680,O000630,P009,スマートデスクライト,オフィス用品,LumaWorks,73.69,1,0.15,62.64,WH-SEOUL
OI0000681,O000622,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1217.00,1,0.00,1217.00,WH-SEOUL
OI0000682,O000012,P014,フィットネスウォッチ,ウェアラブル,PulseOn,179.95,1,0.00,179.95,WH-BUSAN
OI0000683,O000055,P008,ポータブルSSD 1TB,ストレージ,DataNest,147.18,4,0.00,588.72,WH-SEOUL
OI0000684,O000597,P008,ポータブルSSD 1TB,ストレージ,DataNest,134.81,1,0.05,128.07,WH-DAEJEON
OI0000685,O000426,P009,スマートデスクライト,オフィス用品,LumaWorks,71.85,2,0.10,129.33,WH-SEOUL
OI0000686,O000698,P007,高画質ウェブカメラ,周辺機器,VisionGo,110.19,1,0.00,110.19,WH-SEOUL
OI0000687,O000503,P017,4Kアクションカメラ,カメラ,VisionGo,339.08,1,0.10,305.17,WH-SEOUL
OI0000688,O000278,P005,ノートPCスタンド,オフィス用品,ErgoLab,48.77,2,0.05,92.66,WH-DAEJEON
OI0000689,O000106,P010,Bluetoothスピーカー,オーディオ,SonicArc,96.97,1,0.00,96.97,WH-SEOUL
OI0000690,O000678,P004,27インチモニター,ディスプレイ,ViewPeak,275.48,1,0.00,275.48,WH-BUSAN
OI0000691,O000648,P015,65W急速充電器,周辺機器,VoltEdge,41.57,1,0.00,41.57,WH-SEOUL
OI0000692,O000037,P008,ポータブルSSD 1TB,ストレージ,DataNest,128.57,1,0.00,128.57,WH-DAEJEON
OI0000693,O000711,P003,USB-Cハブ,周辺機器,Nexio,57.66,1,0.05,54.78,WH-SEOUL
OI0000694,O000096,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,228.97,2,0.10,412.15,WH-BUSAN
OI0000695,O000563,P008,ポータブルSSD 1TB,ストレージ,DataNest,128.23,1,0.10,115.41,WH-DAEJEON
OI0000696,O000685,P018,電子書籍リーダー,コンピューター,PageFlow,147.24,1,0.00,147.24,WH-BUSAN
OI0000697,O000690,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1207.25,2,0.15,2052.32,WH-DAEJEON
